,close,high,low,open,time,volumefrom,volumeto,timestamp
0,13918.0,13979.55,13606.0,13829.0,1514152800,33.79,468499.89,2017-12-25 07:00:00
1,14062.0,14095.0,13900.0,13918.0,1514156400,29.87,418739.44,2017-12-25 08:00:00
2,13920.8,14108.19,13900.0,14062.0,1514160000,25.65,359623.97,2017-12-25 09:00:00
3,14090.52,14149.0,13850.0,13920.8,1514163600,28.11,392647.11,2017-12-25 10:00:00
4,13869.94,14090.52,13697.8,14090.52,1514167200,30.23,419650.33,2017-12-25 11:00:00
5,13866.0,14000.0,13770.83,13869.94,1514170800,26.55,368708.75,2017-12-25 12:00:00
6,14200.0,14390.0,13688.69,13866.0,1514174400,35.24,496567.31,2017-12-25 13:00:00
7,14211.9,14300.0,14070.0,14200.0,1514178000,26.52,376258.35,2017-12-25 14:00:00
8,14298.0,14399.08,14172.34,14211.9,1514181600,33.45,477680.51,2017-12-25 15:00:00
9,14392.4,14424.0,14250.0,14298.0,1514185200,23.58,338297.28,2017-12-25 16:00:00
10,14600.0,14620.0,14350.0,14392.4,1514188800,32.23,466289.15,2017-12-25 17:00:00
11,14379.98,14761.0,14307.0,14600.0,1514192400,36.78,534929.31,2017-12-25 18:00:00
12,14459.0,14500.0,14320.66,14379.98,1514196000,24.97,360670.66,2017-12-25 19:00:00
13,14518.89,14550.0,14406.0,14459.0,1514199600,27.94,404711.94,2017-12-25 20:00:00
14,14759.0,14822.2,14461.0,14518.89,1514203200,35.26,516587.3,2017-12-25 21:00:00
15,14288.0,14770.0,14200.0,14759.0,1514206800,49.79,726815.33,2017-12-25 22:00:00
16,14152.0,14460.0,13973.0,14288.0,1514210400,53.17,754839.37,2017-12-25 23:00:00
17,14286.07,14449.99,14152.0,14152.0,1514214000,30.9,442208.06,2017-12-26 00:00:00
18,14358.83,14422.0,14207.63,14286.07,1514217600,24.37,349767.54,2017-12-26 01:00:00
19,14320.0,14390.0,14229.2,14358.83,1514221200,24.19,345853.55,2017-12-26 02:00:00
20,14413.33,14460.73,14301.0,14320.0,1514224800,23.96,344346.78,2017-12-26 03:00:00
21,14380.0,14480.12,14361.67,14413.33,1514228400,22.95,330660.23,2017-12-26 04:00:00
22,14190.0,14433.33,14070.0,14380.0,1514232000,32.48,464211.01,2017-12-26 05:00:00
23,14192.18,14300.0,14071.0,14190.0,1514235600,29.82,423169.5,2017-12-26 06:00:00
24,14199.9,14294.35,14001.54,14192.18,1514239200,23.56,333851.96,2017-12-26 07:00:00
25,14310.12,14490.2,14199.9,14199.9,1514242800,30.97,444744.49,2017-12-26 08:00:00
26,14385.01,14470.0,14310.12,14310.12,1514246400,20.66,297798.52,2017-12-26 09:00:00
27,14276.8,14413.81,14188.94,14385.01,1514250000,23.8,340641.27,2017-12-26 10:00:00
28,14399.0,14428.51,14168.21,14276.8,1514253600,20.97,300356.72,2017-12-26 11:00:00
29,14734.41,14734.41,14302.67,14399.0,1514257200,28.51,414011.99,2017-12-26 12:00:00
30,14926.31,15000.0,14638.63,14734.41,1514260800,41.71,618815.96,2017-12-26 13:00:00
31,15170.0,15459.99,14920.4,14926.31,1514264400,50.57,770283.0,2017-12-26 14:00:00
32,15634.0,15686.23,15115.02,15170.0,1514268000,46.49,717899.56,2017-12-26 15:00:00
33,15450.0,15648.0,15192.88,15634.0,1514271600,38.92,598891.41,2017-12-26 16:00:00
34,15411.28,15600.0,15301.0,15450.0,1514275200,39.79,614985.36,2017-12-26 17:00:00
35,15482.2,15600.0,15290.0,15411.28,1514278800,37.27,573710.82,2017-12-26 18:00:00
36,15502.0,15579.0,15460.0,15482.2,1514282400,28.51,442646.99,2017-12-26 19:00:00
37,15376.0,15550.0,15300.0,15502.0,1514286000,31.79,490131.29,2017-12-26 20:00:00
38,15550.0,15570.0,15200.0,15376.0,1514289600,30.89,475700.52,2017-12-26 21:00:00
39,15640.0,15751.67,15550.0,15550.0,1514293200,34.54,541218.15,2017-12-26 22:00:00
40,16300.0,16307.21,15600.0,15640.0,1514296800,66.94,1067719.72,2017-12-26 23:00:00
41,16340.0,16500.0,16105.0,16300.0,1514300400,72.55,1186478.57,2017-12-27 00:00:00
42,16630.0,16750.0,16283.08,16340.0,1514304000,57.04,944672.17,2017-12-27 01:00:00
43,16320.0,16649.0,15825.0,16630.0,1514307600,61.83,1005355.23,2017-12-27 02:00:00
44,16312.0,16500.0,16280.0,16320.0,1514311200,33.56,550004.43,2017-12-27 03:00:00
45,16493.0,16500.0,16281.12,16312.0,1514314800,34.65,569069.19,2017-12-27 04:00:00
46,16450.0,16666.0,16360.0,16493.0,1514318400,33.71,558084.18,2017-12-27 05:00:00
47,16400.0,16479.0,16390.01,16450.0,1514322000,19.92,327375.01,2017-12-27 06:00:00
48,16198.8,16550.0,16100.33,16400.0,1514325600,33.99,553527.28,2017-12-27 07:00:00
49,16248.3,16300.0,16110.59,16198.8,1514329200,22.94,372267.86,2017-12-27 08:00:00
50,16031.49,16300.0,16026.54,16248.3,1514332800,22.32,360735.76,2017-12-27 09:00:00
51,16189.06,16372.0,16011.36,16031.49,1514336400,16.3,264788.88,2017-12-27 10:00:00
52,16246.63,16350.0,16150.0,16189.06,1514340000,6.48,105236.24,2017-12-27 11:00:00
53,16283.41,16290.0,16150.0,16246.63,1514343600,7.91,128480.95,2017-12-27 12:00:00
54,16634.0,16724.34,16160.0,16283.41,1514347200,17.62,291948.83,2017-12-27 13:00:00
55,16598.99,16710.0,16500.0,16634.0,1514350800,15.01,249095.62,2017-12-27 14:00:00
