,close,high,low,open,time,volumefrom,volumeto,timestamp
0,13405.7,13500.0,12902.3,13073.0,1514152800,152.94,2023028.22,2017-12-25 07:00:00
1,13760.0,13760.0,13402.0,13405.7,1514156400,117.53,1598470.04,2017-12-25 08:00:00
2,13676.0,14004.8,13548.7,13760.0,1514160000,116.05,1601492.32,2017-12-25 09:00:00
3,13699.9,13860.0,13349.1,13676.0,1514163600,109.77,1484522.28,2017-12-25 10:00:00
4,13212.0,13699.9,13107.0,13699.9,1514167200,76.33,1019204.32,2017-12-25 11:00:00
5,13200.2,13700.0,13107.6,13212.0,1514170800,60.27,805505.2,2017-12-25 12:00:00
6,13800.0,13968.8,13030.0,13200.2,1514174400,72.5,982727.61,2017-12-25 13:00:00
7,13756.2,13923.9,13611.0,13800.0,1514178000,67.23,926671.87,2017-12-25 14:00:00
8,13650.0,14200.0,13191.6,13756.2,1514181600,175.48,2428502.8,2017-12-25 15:00:00
9,13906.0,14149.4,13623.2,13650.0,1514185200,100.92,1406689.18,2017-12-25 16:00:00
10,14109.0,14200.0,13536.6,13906.0,1514188800,243.17,3372637.88,2017-12-25 17:00:00
11,13893.4,14158.5,13770.0,14109.0,1514192400,55.81,782954.88,2017-12-25 18:00:00
12,13933.5,14100.0,13801.0,13893.4,1514196000,29.91,418148.55,2017-12-25 19:00:00
13,14199.7,14200.5,13900.0,13933.5,1514199600,135.9,1923466.64,2017-12-25 20:00:00
14,14310.8,14512.0,14149.6,14199.7,1514203200,97.99,1407164.77,2017-12-25 21:00:00
15,14000.0,14463.1,14000.0,14310.8,1514206800,114.13,1617528.88,2017-12-25 22:00:00
16,13568.0,14000.0,13511.6,14000.0,1514210400,114.48,1572924.86,2017-12-25 23:00:00
17,13844.6,14000.0,13550.0,13568.0,1514214000,99.95,1372175.38,2017-12-26 00:00:00
18,14000.2,14064.3,13781.4,13844.6,1514217600,89.62,1251405.53,2017-12-26 01:00:00
19,13800.1,14001.9,13603.0,14000.2,1514221200,64.09,883825.52,2017-12-26 02:00:00
20,14052.0,14200.0,13780.0,13800.1,1514224800,84.26,1181835.96,2017-12-26 03:00:00
21,14103.3,14277.0,14052.0,14052.0,1514228400,189.66,2682903.94,2017-12-26 04:00:00
22,13754.0,14200.0,13700.0,14103.3,1514232000,119.04,1653911.2,2017-12-26 05:00:00
23,13709.0,13939.1,13601.3,13754.0,1514235600,74.26,1018518.49,2017-12-26 06:00:00
24,13709.0,13900.0,13605.1,13709.0,1514239200,49.77,681965.55,2017-12-26 07:00:00
25,13865.0,14000.0,13709.0,13709.0,1514242800,114.04,1584700.04,2017-12-26 08:00:00
26,13978.5,14150.0,13865.0,13865.0,1514246400,86.22,1209542.68,2017-12-26 09:00:00
27,13912.9,14025.3,13763.0,13978.5,1514250000,61.4,851264.45,2017-12-26 10:00:00
28,13982.0,14085.9,13892.3,13912.9,1514253600,44.78,626039.91,2017-12-26 11:00:00
29,14672.0,14799.8,13970.0,13982.0,1514257200,246.45,3529488.42,2017-12-26 12:00:00
30,14900.0,14980.0,14600.0,14672.0,1514260800,180.3,2676397.75,2017-12-26 13:00:00
31,15302.7,15433.0,14900.0,14900.0,1514264400,301.72,4599682.12,2017-12-26 14:00:00
32,15430.9,15491.9,15161.0,15302.7,1514268000,145.7,2236556.95,2017-12-26 15:00:00
33,15405.0,15473.0,15202.0,15430.9,1514271600,112.9,1731799.07,2017-12-26 16:00:00
34,15054.0,15493.9,15016.0,15405.0,1514275200,78.15,1193875.79,2017-12-26 17:00:00
35,15322.9,15400.0,14920.7,15054.0,1514278800,73.17,1106973.55,2017-12-26 18:00:00
36,15217.8,15400.0,15191.5,15322.9,1514282400,53.67,822519.82,2017-12-26 19:00:00
37,15142.3,15260.0,15033.0,15217.8,1514286000,71.78,1085164.07,2017-12-26 20:00:00
38,15291.0,15387.8,15033.0,15142.3,1514289600,84.36,1279092.3,2017-12-26 21:00:00
39,15330.2,15499.5,15215.6,15291.0,1514293200,175.91,2705944.56,2017-12-26 22:00:00
40,15742.0,15742.0,15291.3,15330.2,1514296800,291.93,4556819.95,2017-12-26 23:00:00
41,15840.1,15906.6,15688.0,15742.0,1514300400,273.81,4327438.54,2017-12-27 00:00:00
42,16135.1,16175.8,15830.0,15840.1,1514304000,262.95,4217531.92,2017-12-27 01:00:00
43,15837.8,16175.0,15654.0,16135.1,1514307600,228.33,3633751.1,2017-12-27 02:00:00
44,15746.5,15925.0,15704.4,15837.8,1514311200,79.87,1265521.03,2017-12-27 03:00:00
45,15919.4,16249.0,15722.2,15746.5,1514314800,343.28,5471510.77,2017-12-27 04:00:00
46,15944.7,16150.0,15800.0,15919.4,1514318400,103.19,1655212.8,2017-12-27 05:00:00
47,15975.0,16100.0,15752.6,15944.7,1514322000,67.23,1069954.5,2017-12-27 06:00:00
48,15803.6,16148.0,15700.0,15975.0,1514325600,160.49,2552333.81,2017-12-27 07:00:00
49,15814.5,15881.7,15615.0,15803.6,1514329200,94.96,1494262.45,2017-12-27 08:00:00
50,15811.5,15888.9,15654.0,15814.5,1514332800,150.66,2374586.36,2017-12-27 09:00:00
51,15996.0,16098.0,15784.5,15811.5,1514336400,133.85,2139962.98,2017-12-27 10:00:00
52,15897.4,16046.0,15828.0,15996.0,1514340000,105.97,1687069.69,2017-12-27 11:00:00
53,15865.4,15914.9,15777.0,15897.4,1514343600,62.96,996520.14,2017-12-27 12:00:00
54,16453.0,16488.9,15842.0,15865.4,1514347200,225.12,3667421.07,2017-12-27 13:00:00
55,16396.5,16475.8,16011.3,16453.0,1514350800,87.65,1426370.61,2017-12-27 14:00:00
