,close,high,low,open,time,volumefrom,volumeto,timestamp
0,427.93,427.93,427.93,427.93,1514152800,0,0,2017-12-25 07:00:00
1,427.93,427.93,427.93,427.93,1514156400,0,0,2017-12-25 08:00:00
2,427.93,427.93,427.93,427.93,1514160000,0,0,2017-12-25 09:00:00
3,427.93,427.93,427.93,427.93,1514163600,0,0,2017-12-25 10:00:00
4,427.93,427.93,427.93,427.93,1514167200,0,0,2017-12-25 11:00:00
5,427.93,427.93,427.93,427.93,1514170800,0,0,2017-12-25 12:00:00
6,427.93,427.93,427.93,427.93,1514174400,0,0,2017-12-25 13:00:00
7,427.93,427.93,427.93,427.93,1514178000,0,0,2017-12-25 14:00:00
8,427.93,427.93,427.93,427.93,1514181600,0,0,2017-12-25 15:00:00
9,427.93,427.93,427.93,427.93,1514185200,0,0,2017-12-25 16:00:00
10,427.93,427.93,427.93,427.93,1514188800,0,0,2017-12-25 17:00:00
11,427.93,427.93,427.93,427.93,1514192400,0,0,2017-12-25 18:00:00
12,427.93,427.93,427.93,427.93,1514196000,0,0,2017-12-25 19:00:00
13,427.93,427.93,427.93,427.93,1514199600,0,0,2017-12-25 20:00:00
14,427.93,427.93,427.93,427.93,1514203200,0,0,2017-12-25 21:00:00
15,427.93,427.93,427.93,427.93,1514206800,0,0,2017-12-25 22:00:00
16,427.93,427.93,427.93,427.93,1514210400,0,0,2017-12-25 23:00:00
17,427.93,427.93,427.93,427.93,1514214000,0,0,2017-12-26 00:00:00
18,427.93,427.93,427.93,427.93,1514217600,0,0,2017-12-26 01:00:00
19,427.93,427.93,427.93,427.93,1514221200,0,0,2017-12-26 02:00:00
20,427.93,427.93,427.93,427.93,1514224800,0,0,2017-12-26 03:00:00
21,427.93,427.93,427.93,427.93,1514228400,0,0,2017-12-26 04:00:00
22,427.93,427.93,427.93,427.93,1514232000,0,0,2017-12-26 05:00:00
23,427.93,427.93,427.93,427.93,1514235600,0,0,2017-12-26 06:00:00
24,427.93,427.93,427.93,427.93,1514239200,0,0,2017-12-26 07:00:00
25,427.93,427.93,427.93,427.93,1514242800,0,0,2017-12-26 08:00:00
26,427.93,427.93,427.93,427.93,1514246400,0,0,2017-12-26 09:00:00
27,427.93,427.93,427.93,427.93,1514250000,0,0,2017-12-26 10:00:00
28,427.93,427.93,427.93,427.93,1514253600,0,0,2017-12-26 11:00:00
29,427.93,427.93,427.93,427.93,1514257200,0,0,2017-12-26 12:00:00
30,427.93,427.93,427.93,427.93,1514260800,0,0,2017-12-26 13:00:00
31,427.93,427.93,427.93,427.93,1514264400,0,0,2017-12-26 14:00:00
32,427.93,427.93,427.93,427.93,1514268000,0,0,2017-12-26 15:00:00
33,427.93,427.93,427.93,427.93,1514271600,0,0,2017-12-26 16:00:00
34,427.93,427.93,427.93,427.93,1514275200,0,0,2017-12-26 17:00:00
35,427.93,427.93,427.93,427.93,1514278800,0,0,2017-12-26 18:00:00
36,427.93,427.93,427.93,427.93,1514282400,0,0,2017-12-26 19:00:00
37,427.93,427.93,427.93,427.93,1514286000,0,0,2017-12-26 20:00:00
38,427.93,427.93,427.93,427.93,1514289600,0,0,2017-12-26 21:00:00
39,427.93,427.93,427.93,427.93,1514293200,0,0,2017-12-26 22:00:00
40,427.93,427.93,427.93,427.93,1514296800,0,0,2017-12-26 23:00:00
